Instructor,Course.Number,Total.Students,A,B,C,D,F,W,Avg.GPA
"Wiss, James E",PHYS 485,115,37%,34%,25%,3%,0%,0%,3.03
"Wiss, James E",PHYS 436,132,43%,42%,15%,0%,0%,0%,3.24
"Wiss, James E",PHYS 435,209,34%,48%,12%,5%,0%,0%,3.15
"Stone, Michael",PHYS 508,282,52%,33%,15%,0%,0%,1%,3.3
"Stone, Michael",PHYS 211,575,37%,27%,23%,10%,2%,1%,2.87
"Shapiro, Stuart L",PHYS 515,95,69%,28%,1%,0%,0%,1%,3.59
"Fradkin, Eduardo H",PHYS 580,40,90%,10%,0%,0%,0%,0%,3.84
"Fradkin, Eduardo H",PHYS 582,156,81%,14%,3%,0%,0%,1%,3.73
"Fradkin, Eduardo H",PHYS 598,22,91%,9%,0%,0%,0%,0%,3.85
"Leigh, Robert G",PHYS 582,61,59%,33%,7%,2%,0%,0%,3.46
"Leigh, Robert G",PHYS 581,33,67%,24%,9%,0%,0%,0%,3.58
"Lambert, Kris N",PLPA 200,192,53%,31%,11%,2%,2%,1%,3.32
"Mideros Mora, Santiago X",PLPA 407,53,49%,28%,15%,6%,0%,2%,3.26
"Kourtikakis, Konstantinos",PS 100,965,50%,35%,12%,3%,1%,0%,3.27
"Kourtikakis, Konstantinos",PS 348,459,52%,32%,11%,2%,2%,1%,3.27
"Kourtikakis, Konstantinos",PS 385,236,56%,29%,11%,2%,3%,0%,3.29
"Kourtikakis, Konstantinos",PS 282,386,55%,26%,12%,2%,4%,1%,3.26
"Kourtikakis, Konstantinos",PS 300,48,50%,29%,8%,0%,8%,4%,3.09
"Lassi, Leif T",PS 100,25,52%,20%,16%,12%,0%,0%,3.08
"Lassi, Leif T",PS 282,21,38%,57%,5%,0%,0%,0%,3.32
"Sin, Gisela",PS 101,501,44%,36%,13%,4%,4%,0%,3.07
"Sin, Gisela",PS 303,196,47%,33%,12%,1%,6%,1%,3.15
"Sin, Gisela",PS 300,183,70%,22%,5%,1%,1%,0%,3.56
"Sin, Gisela",PS 199,88,56%,34%,6%,1%,3%,0%,3.35
"Livny, Avital",PS 152,169,55%,25%,12%,4%,4%,0%,3.2
"Livny, Avital",PS 241,74,34%,42%,15%,7%,3%,0%,2.96
"Livny, Avital",PS 199,23,39%,48%,13%,0%,0%,0%,3.17
"Livny, Avital",PS 347,25,40%,40%,12%,0%,4%,4%,3.06
"Grossman, Nicholas",PS 199,70,53%,34%,7%,0%,3%,3%,3.32
"Ashley, Jeffrey S",PS 220,900,31%,42%,19%,6%,2%,0%,2.96
"Pahre, Robert D",PS 225,565,22%,45%,27%,5%,2%,0%,2.77
"Pahre, Robert D",PS 300,22,41%,50%,9%,0%,0%,0%,3.32
"Bowers, Jake",PS 230,266,52%,29%,8%,3%,7%,1%,3.14
"Bowers, Jake",PS 300,24,83%,12%,4%,0%,0%,0%,3.71
"Leff, Carol S",PS 240,751,62%,35%,3%,0%,0%,0%,3.51
"Leff, Carol S",PS 391,73,63%,34%,1%,1%,0%,0%,3.54
"Leff, Carol S",PS 352,72,58%,40%,1%,0%,0%,0%,3.56
"Leff, Carol S",PS 351,22,64%,32%,0%,5%,0%,0%,3.52
"Leff, Carol S",PS 348,195,85%,15%,0%,0%,0%,0%,3.73
"Winters, Matthew S",PS 241,631,39%,39%,15%,3%,2%,1%,3.09
"Winters, Matthew S",PS 345,72,51%,38%,8%,0%,0%,3%,3.43
"Winters, Matthew S",PS 340,73,41%,42%,10%,1%,5%,0%,3.11
"Miller, Benjamin M",PS 270,229,34%,54%,9%,2%,0%,1%,3.19
"Miller, Benjamin M",PHIL 203,38,32%,58%,3%,8%,0%,0%,3.07
"Chaudoin, Robert S",PS 280,293,27%,43%,18%,7%,4%,0%,2.77
"Chaudoin, Robert S",PS 392,22,27%,41%,18%,9%,5%,0%,2.7
"Brennan, Bernard J",PS 280,61,57%,28%,7%,3%,3%,2%,3.33
"Lynn, John A",PS 300,50,22%,36%,30%,6%,6%,0%,2.58
"Lynn, John A",HIST 251,248,15%,49%,30%,3%,2%,1%,2.7
"Lynn, John A",HIST 401,23,35%,48%,13%,4%,0%,0%,3.12
"Uribe-McGuire, Alicia B",PS 301,251,43%,36%,12%,4%,3%,2%,3.12
"Uribe-McGuire, Alicia B",PS 302,104,37%,48%,12%,2%,0%,1%,3.21
"Althaus, Scott",PS 312,348,18%,36%,32%,9%,3%,1%,2.58
"Althaus, Scott",CMN 424,21,43%,52%,0%,5%,0%,0%,3.29
"Cho, Wendy K",PS 323,143,32%,41%,23%,3%,1%,0%,2.97
"Cho, Wendy K",PS 317,24,50%,25%,21%,0%,4%,0%,3.13
"Cho, Wendy K",PS 300,83,31%,53%,12%,2%,0%,1%,3.09
"Bosecker, Natalie B",PSM 501,80,94%,2%,4%,0%,0%,0%,3.89
"Bosecker, Natalie B",PSM 502,48,90%,8%,2%,0%,0%,0%,3.86
"Bosecker, Natalie B",PSM 503,24,83%,8%,4%,0%,4%,0%,3.64
"Travis, Lisa L",PSYC 100,5875,29%,44%,18%,6%,3%,0%,2.9
"Travis, Lisa L",PSYC 105,71,72%,23%,4%,1%,0%,0%,3.64
"Travis, Lisa L",PSYC 318,406,41%,42%,14%,1%,2%,1%,3.17
"Travis, Lisa L",PSYC 216,601,33%,37%,21%,5%,3%,0%,2.92
"Srull, Thomas K",PSYC 100,3958,33%,31%,31%,3%,2%,1%,2.9
"Srull, Thomas K",PSYC 353,1636,46%,30%,20%,2%,2%,0%,3.17
"Irwin, David E",PSYC 103,158,35%,40%,20%,3%,3%,1%,3.04
"Irwin, David E",PSYC 230,332,23%,44%,23%,8%,2%,0%,2.78
"O'Brien, Margaret M",PSYC 199,24,62%,25%,4%,0%,8%,0%,3.33
"Albarracin, Dolores",PSYC 201,2237,36%,36%,18%,5%,4%,0%,2.96
"Albarracin, Dolores",PSYC 352,27,78%,7%,4%,4%,7%,0%,3.44
"Dolcos, Sanda M",PSYC 204,493,64%,22%,11%,3%,1%,0%,3.42
"Dolcos, Sanda M",PSYC 404,67,61%,25%,9%,1%,3%,0%,3.41
"Uddin, Eva M",PSYC 210,173,25%,41%,21%,9%,3%,1%,2.76
"Uddin, Eva M",PSYC 365,80,78%,21%,0%,0%,0%,1%,3.73
"Uddin, Eva M",PSYC 396,31,29%,58%,10%,0%,0%,3%,3.19
"Fisher, Cynthia L",PSYC 216,1565,40%,33%,16%,7%,3%,1%,3.01
"Fisher, Cynthia L",PSYC 423,21,33%,19%,29%,19%,0%,0%,2.62
"Sahakyan, Lili",PSYC 224,196,45%,34%,13%,3%,3%,2%,3.18
"Sahakyan, Lili",PSYC 321,25,36%,40%,20%,0%,4%,0%,3.15
"Sahakyan, Lili",PSYC 248,267,16%,40%,32%,8%,4%,0%,2.56
"Lleras Buetti, Simona",PSYC 230,1345,60%,24%,10%,3%,3%,0%,3.33
"Wang, Michelle Y",PSYC 235,100,52%,22%,11%,8%,7%,0%,3
"Wang, Michelle Y",STAT 420,84,68%,24%,7%,1%,0%,0%,3.54
"Wang, Michelle Y",STAT 425,60,57%,30%,10%,2%,2%,0%,3.4
"Lyubansky, Mikhail",PSYC 238,2419,52%,35%,9%,2%,1%,0%,3.33
"Lyubansky, Mikhail",PSYC 312,903,24%,60%,13%,2%,1%,0%,3.06
"Lyubansky, Mikhail",EPSY 420,522,17%,54%,22%,4%,2%,2%,2.82
"Todd, Nathan R",PSYC 239,78,63%,28%,5%,4%,0%,0%,3.45
"Todd, Nathan R",PSYC 396,128,62%,28%,9%,2%,0%,0%,3.48
"Todd, Nathan R",PSYC 407,37,89%,11%,0%,0%,0%,0%,3.87
"Newman, Daniel A",PSYC 245,1006,46%,30%,14%,5%,4%,1%,3.09
"Newman, Daniel A",PSYC 455,342,34%,42%,20%,0%,4%,1%,3.01
"Newman, Daniel A",LER 593,141,72%,23%,4%,0%,0%,1%,3.68
"Newman, Daniel A",LER 597,37,76%,24%,0%,0%,0%,0%,3.72
"Benjamin, Aaron S",PSYC 248,612,26%,40%,24%,7%,2%,1%,2.82
"Derringer, Jaime L",PSYC 250,1180,45%,31%,16%,4%,2%,1%,3.11
"Derringer, Jaime L",PSYC 496,25,92%,0%,4%,0%,0%,4%,3.92
"Rudolph, Karen D",PSYC 324,852,30%,40%,21%,7%,1%,0%,2.9
"Cohen, Dov",PSYC 333,493,44%,40%,13%,1%,2%,0%,3.21
"Hankin, Benjamin L",PSYC 336,37,68%,24%,3%,3%,3%,0%,3.48
"Fairbairn, Catharine E",PSYC 336,124,56%,33%,7%,2%,2%,1%,3.41
"Laurent, Heidemarie K",PSYC 336,35,66%,23%,9%,3%,0%,0%,3.51
"Cohen, Joseph R",PSYC 336,66,52%,36%,12%,0%,0%,0%,3.37
"Kwapil, Thomas R",PSYC 340,22,91%,9%,0%,0%,0%,0%,3.85
"Fraley, Robert C",PSYC 350,437,77%,18%,3%,1%,2%,0%,3.67
"Fraley, Robert C",PSYC 437,201,76%,19%,2%,1%,1%,1%,3.7
"Hummel, John E",PSYC 357,173,24%,39%,20%,6%,8%,2%,2.68
"Hummel, John E",PSYC 514,77,71%,23%,1%,0%,3%,1%,3.59
"Hummel, John E",PSYC 331,53,34%,40%,21%,4%,0%,2%,3.06
"Shenouda, Christine K",PSYC 363,127,67%,24%,5%,2%,2%,0%,3.5
"Shenouda, Christine K",PSYC 328,110,43%,45%,10%,0%,1%,1%,3.27
"Shenouda, Christine K",PSYC 396,101,50%,38%,11%,1%,1%,0%,3.32
"Shenouda, Christine K",PSYC 373,143,34%,50%,13%,1%,1%,1%,3.21
"Shenouda, Christine K",PSYC 100,152,54%,25%,7%,9%,5%,0%,3.12
"Stern, Chadly D",PSYC 396,28,68%,29%,4%,0%,0%,0%,3.67
"Laurent, Sean M",PSYC 396,62,35%,50%,11%,0%,2%,2%,3.23
"Schwarb Rohrig, Hillary D",PSYC 403,192,82%,16%,1%,1%,0%,0%,3.79
"Collins, Sean M",PSYC 414,70,56%,29%,7%,6%,3%,0%,3.31
"Liang, Nu-Chu",PSYC 417,104,74%,15%,8%,2%,1%,0%,3.55
"Liang, Nu-Chu",PSYC 210,160,23%,30%,29%,10%,6%,2%,2.56
"Rhodes, Justin S",PSYC 433,360,47%,30%,15%,5%,4%,0%,3.09
"Federmeier, Kara D",PSYC 450,159,75%,14%,4%,4%,3%,0%,3.56
"Federmeier, Kara D",PSYC 224,1352,33%,32%,22%,9%,4%,0%,2.79
"Bub, Kristen L",PSYC 465,447,40%,40%,16%,4%,0%,0%,3.18
"Miller, Andrea L",PSYC 468,99,54%,33%,11%,1%,1%,0%,3.35
"Miller, Andrea L",PSYC 396,25,72%,28%,0%,0%,0%,0%,3.68
"Miller, Andrea L",LAW 792,23,87%,13%,0%,0%,0%,0%,3.84
"Phan, Wei Ming Jonath",PSYC 475,113,33%,45%,15%,6%,1%,0%,3.03
"Phan, Wei Ming Jonath",PSYC 201,172,46%,36%,15%,1%,1%,1%,3.27
"Chang, Hua-hua",PSYC 490,42,90%,10%,0%,0%,0%,0%,3.93
"Chang, Hua-hua",EPSY 585,21,90%,10%,0%,0%,0%,0%,3.9
"Koehn, Hans F",PSYC 506,38,82%,16%,3%,0%,0%,0%,3.76
"Koehn, Hans F",PSYC 407,115,92%,6%,1%,0%,1%,0%,3.86
"Koehn, Hans F",PSYC 406,176,88%,11%,1%,0%,0%,1%,3.85
"Rice, Laura A",REHB 330,488,62%,28%,6%,2%,2%,0%,3.43
"Rice, Laura A",CHLH 110,28,61%,21%,4%,11%,4%,0%,3.25
"Rice, Laura A",CHLH 407,32,97%,0%,3%,0%,0%,0%,3.92
"Strauser, David R",REHB 402,367,56%,34%,8%,1%,1%,1%,3.42
"Strauser, David R",REHB 435,201,74%,15%,7%,3%,0%,0%,3.59
"Layton, Richard A",REL 101,27,52%,33%,11%,4%,0%,0%,3.37
"Layton, Richard A",RLST 101,333,27%,45%,17%,6%,3%,1%,2.86
"Layton, Richard A",RLST 121,24,58%,33%,8%,0%,0%,0%,3.54
"Layton, Richard A",RLST 202,53,40%,38%,13%,4%,6%,0%,3.04
"Rosenstock, Bruce",REL 108,87,92%,5%,2%,0%,1%,0%,3.85
"Rosenstock, Bruce",RLST 109,512,87%,7%,3%,1%,2%,0%,3.73
"Rosenstock, Bruce",RLST 120,24,42%,38%,17%,0%,4%,0%,3.11
"Rosenstock, Bruce",RLST 108,830,87%,8%,2%,1%,2%,0%,3.72
"Mandayam Comar, Janani",REL 110,49,35%,45%,10%,6%,4%,0%,2.95
"Davis, Luke R",REL 110,46,67%,22%,9%,2%,0%,0%,3.53
"Davis, Luke R",RLST 110,137,46%,42%,9%,1%,1%,0%,3.25
"Ott, Beau C",REL 110,25,48%,44%,0%,4%,4%,0%,3.28
"Wetherholt, Heather M",REL 110,50,74%,24%,0%,0%,2%,0%,3.61
"Jones, Hannah Gene K",REL 110,49,76%,20%,4%,0%,0%,0%,3.65
"Jones, Hannah Gene K",RLST 110,78,56%,32%,8%,1%,3%,0%,3.36
"Reinke, Joshua M",REL 110,74,70%,22%,4%,1%,1%,1%,3.56
"Reinke, Joshua M",RLST 110,54,30%,52%,13%,6%,0%,0%,3.06
"Reinke, Joshua M",RLST 104,50,32%,46%,10%,8%,4%,0%,2.95
"Acar, Asena",REL 110,49,84%,10%,0%,2%,4%,0%,3.62
"Hoffman, Valerie J",REL 214,40,42%,25%,12%,12%,5%,2%,2.8
"Hoffman, Valerie J",RLST 260,24,54%,25%,12%,4%,4%,0%,3.08
"Hoffman, Valerie J",SAME 152,121,44%,33%,19%,2%,2%,0%,3.1
"Hoffman, Valerie J",RLST 408,21,57%,29%,10%,0%,5%,0%,3.3
"Hoffman, Valerie J",RLST 403,70,73%,16%,9%,3%,0%,0%,3.56
"Hoffman, Valerie J",ARAB 150,139,42%,28%,12%,8%,9%,1%,2.84
"Hoffman, Valerie J",RLST 214,29,31%,45%,17%,3%,0%,3%,3.1
"Sellers, Edward J",RHET 233,47,68%,28%,2%,0%,2%,0%,3.55
"Sellers, Edward J",ENGL 208,25,32%,52%,12%,4%,0%,0%,3.07
"Sellers, Edward J",ENGL 109,42,38%,38%,19%,0%,5%,0%,3.02
"Sellers, Edward J",ENGL 207,34,41%,29%,18%,6%,6%,0%,2.87
"Sellers, Edward J",ENGL 115,33,85%,9%,0%,0%,3%,3%,3.72
"Prendergast, Catherine J",RHET 233,22,59%,36%,0%,0%,5%,0%,3.45
"Prendergast, Catherine J",RHET 105,22,68%,32%,0%,0%,0%,0%,3.62
"Odom, Michael J",RHET 233,44,34%,57%,7%,0%,0%,2%,3.17
"Odom, Michael J",ENGL 200,25,36%,48%,16%,0%,0%,0%,3.12
"Odom, Michael J",ENGL 109,43,42%,56%,2%,0%,0%,0%,3.4
"Odom, Michael J",ENGL 259,28,36%,36%,21%,0%,4%,4%,2.99
"Odom, Michael J",ENGL 251,66,45%,52%,3%,0%,0%,0%,3.37
"Odom, Michael J",RHET 105,136,39%,49%,9%,1%,1%,1%,3.17
"Odom, Michael J",ENGL 116,35,34%,57%,9%,0%,0%,0%,3.28
"Shinew, Kimberly J",RST 100,3357,47%,37%,11%,3%,2%,1%,3.24
"Shinew, Kimberly J",RST 429,288,54%,35%,5%,5%,1%,0%,3.33
"Pyrz, Patty S",RST 101,166,54%,23%,11%,3%,8%,1%,3.14
"Pyrz, Patty S",IHLT 101,225,64%,16%,11%,4%,4%,0%,3.34
"Raycraft, Michael",RST 130,1000,36%,47%,11%,4%,2%,1%,3.08
"Raycraft, Michael",RST 199,457,81%,12%,4%,1%,2%,0%,3.68
"Raycraft, Michael",RST 320,471,43%,42%,11%,2%,1%,0%,3.21
"Raycraft, Michael",RST 110,727,44%,29%,16%,5%,6%,1%,2.97
"Raycraft, Michael",RST 518,28,68%,32%,0%,0%,0%,0%,3.6
"Raycraft, Michael",RST 340,39,59%,26%,13%,3%,0%,0%,3.38
"Raycraft, Michael",RST 594,26,88%,12%,0%,0%,0%,0%,3.88
"Liechty, Toni",RST 199,128,55%,34%,6%,3%,2%,0%,3.33
"Liechty, Toni",RST 354,81,35%,38%,26%,1%,0%,0%,3.05
"Liechty, Toni",RST 420,53,68%,21%,9%,0%,0%,2%,3.55
"Chalip, Laurence",RST 199,46,26%,52%,15%,7%,0%,0%,2.96
"Chalip, Laurence",RST 420,41,56%,27%,17%,0%,0%,0%,3.34
"Lefevour, Kelsey M",RST 199,73,70%,19%,7%,0%,4%,0%,3.5
"Wheeler, Stephanie L",RST 199,419,63%,26%,7%,1%,1%,0%,3.45
"Hardin, Donald R",RST 200,896,57%,31%,8%,1%,1%,1%,3.44
"Hardin, Donald R",RST 255,1526,49%,37%,10%,2%,2%,1%,3.28
"Hardin, Donald R",KIN 369,296,68%,24%,6%,1%,1%,0%,3.58
"Hardin, Donald R",RST 130,27,30%,33%,26%,11%,0%,0%,2.81
"Hardin, Donald R",KIN 239,379,37%,46%,14%,2%,0%,1%,3.19
"Hardin, Donald R",RST 199,82,95%,5%,0%,0%,0%,0%,3.94
"Lizzo, Robin D",RST 217,61,61%,31%,5%,2%,2%,0%,3.43
"Lizzo, Robin D",RST 440,47,38%,36%,19%,2%,2%,2%,3.07
"Lizzo, Robin D",RST 480,134,58%,20%,10%,4%,7%,1%,3.18
"Lizzo, Robin D",RST 120,39,51%,33%,13%,0%,0%,3%,3.35
"Lizzo, Robin D",RST 420,97,54%,30%,8%,5%,3%,0%,3.23
"Stodolska, Monika",RST 230,678,37%,37%,20%,3%,1%,1%,3.06
"Stodolska, Monika",RST 429,62,42%,50%,8%,0%,0%,0%,3.3
"Browning, Matthew",RST 242,169,57%,27%,10%,2%,4%,1%,3.31
"Browning, Matthew",RST 199,31,77%,16%,0%,0%,6%,0%,3.56
"Browning, Matthew",RST 370,54,63%,31%,4%,0%,0%,2%,3.55
"Browning, Matthew",RST 429,62,26%,58%,13%,2%,2%,0%,3.05
"Milazzo, Liselle A",RST 242,659,63%,17%,8%,3%,8%,1%,3.3
"Wachter, Cynthia J",RST 300,173,43%,43%,10%,2%,2%,1%,3.24
"Wachter, Cynthia J",RST 335,48,48%,46%,4%,0%,2%,0%,3.34
"Wachter, Cynthia J",RST 410,53,49%,30%,11%,6%,4%,0%,3.11
"Wachter, Cynthia J",RST 330,175,38%,42%,14%,1%,4%,0%,3.05
"Wachter, Cynthia J",RST 316,584,36%,46%,12%,4%,1%,0%,3.14
"Wachter, Cynthia J",RST 501,48,79%,17%,4%,0%,0%,0%,3.74
"Morris, Lynn B",RST 316,418,57%,25%,11%,4%,3%,0%,3.26
"Morris, Lynn B",RST 429,243,39%,37%,13%,7%,4%,0%,2.98
"Morris, Lynn B",RST 199,37,24%,35%,27%,8%,5%,0%,2.69
"Morris, Lynn B",RST 370,213,48%,33%,13%,4%,3%,0%,3.1
"Browning, Lara",RST 325,70,64%,34%,1%,0%,0%,0%,3.56
"Browning, Lara",RST 410,48,44%,35%,15%,4%,0%,2%,3.14
"Browning, Lara",RST 340,70,73%,24%,3%,0%,0%,0%,3.68
"Browning, Lara",RST 110,138,46%,30%,12%,7%,4%,1%,3.04
"Deterding, Robyn M",RST 340,318,83%,14%,2%,1%,0%,0%,3.74
"Emkes, Kyle J",RST 354,560,24%,49%,22%,4%,0%,1%,2.89
"Berdychevsky Ku, Yelyzave",RST 370,294,52%,36%,9%,2%,1%,0%,3.3
"Stewart, William P",RST 429,130,36%,42%,16%,4%,2%,0%,3.06
"Stewart, William P",IHLT 102,101,62%,22%,12%,1%,2%,1%,3.4
"Frohlich, Johannes",SCAN 251,92,79%,13%,3%,3%,1%,0%,3.62
"Frohlich, Johannes",GER 102,21,24%,67%,10%,0%,0%,0%,3.08
"Krishnan, Girish",SE 100,116,86%,11%,0%,0%,3%,0%,3.76
"Krishnan, Girish",GE 100,185,94%,5%,0%,0%,1%,0%,3.86
"Krishnan, Girish",GE 310,77,73%,25%,0%,1%,1%,0%,3.57
"Wildblood, Harry S",SE 261,103,27%,47%,18%,6%,2%,0%,2.91
"Wildblood, Harry S",SE 495,54,89%,11%,0%,0%,0%,0%,3.85
"Wildblood, Harry S",GE 261,513,46%,31%,13%,5%,5%,1%,3.09
"Wildblood, Harry S",GE 494,158,92%,8%,0%,0%,0%,0%,3.89
"Wildblood, Harry S",GE 495,908,92%,7%,0%,0%,0%,0%,3.89
"Wildblood, Harry S",GE 161,740,41%,32%,17%,6%,3%,1%,3.02
"Kim, Harrison H",SE 310,67,19%,67%,13%,0%,0%,0%,3.11
"Kim, Harrison H",IE 431,237,48%,46%,5%,0%,0%,0%,3.42
"Kim, Harrison H",GE 310,252,40%,47%,12%,0%,0%,0%,3.25
"Etesami, Seyed Rasoul",SE 320,46,46%,48%,4%,0%,2%,0%,3.33
"Barich, Joseph M",SE 400,45,67%,29%,2%,2%,0%,0%,3.56
"Barich, Joseph M",TE 450,29,76%,24%,0%,0%,0%,0%,3.69
"Barich, Joseph M",ENG 450,53,72%,28%,0%,0%,0%,0%,3.66
"Barich, Joseph M",GE 400,799,69%,28%,2%,0%,0%,0%,3.6
"Leake, James M",SE 402,23,57%,39%,4%,0%,0%,0%,3.55
"Leake, James M",GE 402,46,57%,43%,0%,0%,0%,0%,3.54
"Leake, James M",GE 101,21,38%,57%,5%,0%,0%,0%,3.29
"Allison, James",SE 410,34,62%,32%,3%,0%,3%,0%,3.46
"Allison, James",GE 413,75,48%,28%,12%,9%,3%,0%,3.09
"Allison, James",GE 410,136,57%,29%,10%,3%,1%,0%,3.36
"Sun, Ruoyu",SE 420,22,86%,14%,0%,0%,0%,0%,3.85
"Wang, Pingfeng",SE 450,62,56%,39%,3%,0%,2%,0%,3.49
"Wachtel, Jayne M",SHS 120,4648,76%,19%,3%,1%,1%,0%,3.67
"Wachtel, Jayne M",SHS 512,86,53%,43%,3%,0%,0%,0%,3.5
"Dramin Weiss, Susan M",SHS 121,598,49%,29%,16%,3%,3%,0%,3.14
"Dramin Weiss, Susan M",SHS 221,185,51%,32%,15%,2%,0%,0%,3.3
"Dramin Weiss, Susan M",SHS 321,123,52%,35%,8%,5%,0%,0%,3.31
"Dramin Weiss, Susan M",SHS 222,86,76%,24%,0%,0%,0%,0%,3.7
"Gooler, David M",SHS 150,261,35%,36%,18%,4%,8%,0%,2.86
"Gooler, David M",SHS 450,482,46%,36%,14%,3%,0%,0%,3.24
"Gooler, David M",SHS 170,1007,40%,43%,12%,3%,1%,0%,3.16
"Gooler, David M",SHS 240,474,36%,39%,18%,5%,1%,0%,3.04
"Gooler, David M",SHS 352,228,82%,13%,4%,0%,1%,0%,3.72
"Gooler, David M",SHS 270,85,73%,19%,5%,2%,1%,0%,3.6
"Mudar, Raksha",SHS 170,416,65%,28%,6%,1%,1%,0%,3.51
"Mudar, Raksha",SHS 271,298,81%,14%,4%,1%,0%,0%,3.7
"Mudar, Raksha",SHS 533,76,84%,16%,0%,0%,0%,0%,3.84
"Mudar, Raksha",SHS 593,29,97%,0%,3%,0%,0%,0%,3.93
"Leverich, Stacey L",SHS 221,25,56%,36%,8%,0%,0%,0%,3.43
"Leverich, Stacey L",SHS 321,23,70%,22%,4%,4%,0%,0%,3.52
"Davies Brenier, Laura",SHS 222,193,86%,12%,2%,0%,0%,1%,3.84
"Aronoff, Justin E",SHS 280,340,53%,35%,10%,2%,1%,0%,3.32
"Aronoff, Justin E",SHS 240,209,50%,31%,14%,4%,1%,0%,3.19
"Aronoff, Justin E",SHS 470,30,40%,47%,10%,3%,0%,0%,3.19
"Ishikawa, Keiko",SHS 300,100,67%,27%,4%,1%,1%,0%,3.5
"Rispoli, Matthew",SHS 320,548,56%,36%,7%,1%,0%,0%,3.45
"Rispoli, Matthew",SHS 200,231,45%,42%,10%,3%,1%,0%,3.28
"Rispoli, Matthew",SHS 270,796,61%,23%,8%,4%,4%,0%,3.36
"Rispoli, Matthew",SHS 120,481,23%,44%,21%,7%,5%,0%,2.73
"Gower, Rebecca J",SHS 375,24,79%,17%,4%,0%,0%,0%,3.76
"Hahn, Laura J",SHS 383,89,72%,24%,4%,0%,0%,0%,3.59
"Hahn, Laura J",SHS 385,73,44%,53%,3%,0%,0%,0%,3.39
"Hahn, Laura J",SHS 390,110,33%,60%,6%,1%,0%,0%,3.24
"Hadley, Pamela A",SHS 431,197,59%,39%,1%,1%,0%,0%,3.55
"Hadley, Pamela A",SHS 120,878,35%,45%,15%,3%,0%,0%,3.12
"Hadley, Pamela A",SHS 532,25,72%,28%,0%,0%,0%,0%,3.6
"Chambers, Lou",SHS 451,338,44%,38%,16%,2%,0%,0%,3.21
"Chambers, Lou",SHS 579,138,67%,33%,0%,0%,0%,0%,3.66
"Monson, Brian",SHS 470,32,81%,16%,3%,0%,0%,0%,3.73
"Mendes, Clarion C",SHS 511,71,66%,34%,0%,0%,0%,0%,3.65
"Mendes, Clarion C",SHS 120,50,80%,16%,4%,0%,0%,0%,3.76
"Mendes, Clarion C",SHS 514,48,92%,8%,0%,0%,0%,0%,3.83
"Johnson, Cynthia J",SHS 532,139,92%,8%,0%,0%,0%,0%,3.91
"Johnson, Cynthia J",SHS 430,233,86%,12%,1%,0%,0%,0%,3.82
"Johnson, Cynthia J",SHS 320,692,67%,25%,8%,0%,0%,0%,3.57
"Channell, Marie M",SHS 533,51,90%,10%,0%,0%,0%,0%,3.9
"Channell, Marie M",SHS 380,151,54%,40%,5%,1%,0%,0%,3.44
"Channell, Marie M",SHS 120,117,38%,43%,15%,2%,3%,0%,3.1
"Hengst, Julie A",SHS 534,125,82%,18%,0%,0%,0%,0%,3.74
"Hengst, Julie A",SHS 383,47,87%,13%,0%,0%,0%,0%,3.85
"Hengst, Julie A",SHS 473,96,82%,16%,2%,0%,0%,0%,3.79
"Hengst, Julie A",SHS 572,21,95%,5%,0%,0%,0%,0%,3.94
"Hengst, Julie A",SHS 271,46,61%,26%,11%,2%,0%,0%,3.39
"Teimourigerdeh, Amirhosse",SOC 100,228,48%,36%,11%,2%,3%,0%,3.23
"Khalil, Hebatallah M",SOC 100,59,66%,25%,3%,3%,2%,0%,3.45
"Fieseler, Carlie M",SOC 100,442,70%,24%,5%,1%,0%,0%,3.57
"Moon, Chase E",SOC 100,93,49%,26%,15%,5%,4%,0%,3.08
"O'Neill, Brian F",SOC 100,91,48%,35%,9%,7%,1%,0%,3.22
"VanHeuvelen, Jane",SOC 100,42,76%,10%,2%,0%,12%,0%,3.37
"VanHeuvelen, Jane",SOC 200,40,60%,32%,5%,2%,0%,0%,3.48
"VanHeuvelen, Jane",SOC 274,44,66%,20%,7%,2%,5%,0%,3.39
"VanHeuvelen, Jane",SOC 162,54,65%,24%,6%,2%,4%,0%,3.41
"Steward, Daniel J",SOC 100,1489,67%,20%,8%,3%,2%,1%,3.47
"Steward, Daniel J",SOC 350,290,78%,14%,4%,3%,0%,0%,3.63
"Steward, Daniel J",SOC 310,65,65%,22%,11%,2%,0%,2%,3.44
"Steward, Daniel J",SOC 275,24,46%,25%,8%,17%,0%,4%,3.07
"Steward, Daniel J",SOC 226,73,79%,15%,3%,1%,0%,1%,3.7
"Baker, Phyllis L",SOC 100,223,33%,43%,16%,5%,3%,0%,2.96
"Baker, Phyllis L",SOC 101,186,22%,42%,22%,10%,3%,2%,2.64
"Mendenhall, Ruby",SOC 163,36,86%,6%,3%,0%,6%,0%,3.63
"Mendenhall, Ruby",SOC 373,154,56%,36%,6%,0%,2%,0%,3.4
"Dill, Brian J",SOC 196,45,44%,29%,13%,4%,7%,2%,2.96
"Dill, Brian J",SOC 364,274,46%,38%,9%,3%,3%,0%,3.16
"Dill, Brian J",GLBL 450,23,61%,17%,0%,9%,13%,0%,3
"Dill, Brian J",GLBL 350,53,70%,21%,4%,2%,4%,0%,3.45
"Dill, Brian J",SOC 122,125,59%,28%,8%,2%,2%,2%,3.39
